store|cash_machine|business_date|item|quantity|unit_prince|line_amount|tran_seq_no|line_seq_no
1001|1|13/01/2022 18:22:43|42|3|11.07|33.21|188|46
1001|1|13/01/2022 18:22:43|171|1|2.00|2.00|189|46
1001|1|13/01/2022 18:22:43|41|3|11.07|33.21|190|46
1001|1|13/01/2022 18:23:35|124|1|8.00|8.00|191|47
1001|1|13/01/2022 18:23:35|53|1|9.50|9.50|192|47
1001|1|13/01/2022 18:23:35|50|1|9.50|9.50|193|47
1001|1|13/01/2022 18:24:26|310|1|-1.12|-1.12|194|48
1001|1|13/01/2022 18:24:26|21|1|10.00|10.00|195|48
1001|1|13/01/2022 18:27:02|310|1|-4.46|-4.46|196|49
1001|1|13/01/2022 18:27:02|40|1|15.00|15.00|197|49
1001|1|13/01/2022 18:27:02|192|1|21.00|21.00|198|49
1001|1|13/01/2022 18:27:02|172|1|2.50|2.50|199|49
1001|1|13/01/2022 18:27:02|25|1|10.00|10.00|200|49
1001|1|13/01/2022 18:29:45|310|1|-0.28|-0.28|201|50
1001|1|13/01/2022 18:29:45|340|1|45.00|45.00|202|50
1001|1|13/01/2022 18:29:45|173|1|3.00|3.00|203|50
1001|1|13/01/2022 18:32:28|273|1|38.00|38.00|204|51
1001|1|13/01/2022 18:32:28|100|1|0.00|0.00|205|51
1001|1|13/01/2022 18:33:18|190|1|21.00|21.00|206|52
1001|1|13/01/2022 18:34:02|51|1|9.50|9.50|207|53
1001|1|13/01/2022 18:34:02|50|8|17.15|137.20|208|53
1001|1|13/01/2022 18:37:16|275|1|38.00|38.00|209|54
1001|1|13/01/2022 18:37:16|100|1|0.00|0.00|210|54
1001|1|13/01/2022 18:38:32|170|1|1.50|1.50|211|55
1001|1|13/01/2022 18:38:32|191|1|21.00|21.00|212|55
1001|1|13/01/2022 18:41:03|170|1|1.50|1.50|213|56
1001|1|13/01/2022 18:41:03|50|5|13.87|69.36|214|56
1001|1|13/01/2022 18:41:03|51|1|9.50|9.50|215|56
1001|1|13/01/2022 18:42:49|190|1|21.00|21.00|216|57
1001|1|13/01/2022 18:45:19|170|1|1.50|1.50|217|58
1001|1|13/01/2022 18:45:19|40|1|15.00|15.00|218|58
1001|1|13/01/2022 18:45:19|310|1|-4.46|-4.46|219|58
1001|1|13/01/2022 18:45:19|122|1|12.00|12.00|220|58
1001|1|13/01/2022 18:47:36|170|1|1.50|1.50|221|59
1001|1|13/01/2022 18:47:36|192|1|21.00|21.00|222|59
1001|1|13/01/2022 18:49:04|170|1|1.50|1.50|223|60
1001|1|13/01/2022 18:49:04|190|1|21.00|21.00|224|60
1001|1|13/01/2022 18:50:39|170|1|1.50|1.50|225|61
1001|1|13/01/2022 18:50:39|190|1|21.00|21.00|226|61
1001|1|13/01/2022 18:51:15|190|1|21.00|21.00|227|62
1001|1|13/01/2022 18:51:15|170|1|1.50|1.50|228|62
1001|1|14/01/2022 08:05:38|21|2|7.81|15.61|229|67
1001|1|14/01/2022 08:05:38|310|1|-5.58|-5.58|230|67
1001|1|14/01/2022 08:05:38|50|1|9.50|9.50|231|67
1001|1|14/01/2022 08:05:38|53|2|10.59|21.19|232|67
1001|1|14/01/2022 08:05:38|20|5|10.22|51.11|233|67
1001|1|14/01/2022 08:05:38|24|1|7.00|7.00|234|67
1001|1|14/01/2022 08:05:38|41|16|24.53|392.50|235|67
1001|1|14/01/2022 08:05:38|40|15|23.50|352.43|236|67
1001|1|14/01/2022 08:05:38|42|6|14.18|85.06|237|67
1001|1|14/01/2022 08:05:38|36|1|15.00|15.00|238|67
1001|1|14/01/2022 08:05:38|21|1|7.00|7.00|239|67
1001|1|14/01/2022 08:05:38|25|1|7.00|7.00|240|67
1001|1|14/01/2022 08:05:38|37|1|15.00|15.00|241|67
1001|1|14/01/2022 08:45:08|191|1|21.00|21.00|242|68
1001|1|14/01/2022 08:45:08|170|1|1.50|1.50|243|68
1001|1|14/01/2022 08:45:49|271|1|38.00|38.00|244|69
1001|1|14/01/2022 08:45:49|173|1|3.00|3.00|245|69
1001|1|14/01/2022 08:47:06|173|1|3.00|3.00|246|70
1001|1|14/01/2022 08:47:06|270|1|38.00|38.00|247|70
1001|1|14/01/2022 08:48:12|191|2|23.42|46.83|248|71
1001|1|14/01/2022 09:13:04|233|1|21.00|21.00|249|72
1001|1|14/01/2022 09:13:04|170|1|1.50|1.50|250|72
1001|1|14/01/2022 09:17:34|120|1|12.00|12.00|251|73
1001|1|14/01/2022 09:17:34|100|1|0.00|0.00|252|73
1001|1|14/01/2022 09:17:34|310|1|-0.84|-0.84|253|73
1001|1|14/01/2022 09:17:34|170|1|1.50|1.50|254|73
1001|1|14/01/2022 09:17:34|40|1|15.00|15.00|255|73
1001|1|14/01/2022 09:19:14|40|4|12.11|48.42|256|74
1001|1|14/01/2022 09:20:13|121|1|12.00|12.00|257|75
1001|1|14/01/2022 09:20:13|170|1|1.50|1.50|258|75
1001|1|14/01/2022 09:20:13|310|1|-0.56|-0.56|259|75
1001|1|14/01/2022 09:21:08|310|1|-4.46|-4.46|260|76
1001|1|14/01/2022 09:21:08|20|1|10.00|10.00|261|76
1001|1|14/01/2022 09:21:08|33|1|15.00|15.00|262|76
1001|1|14/01/2022 09:33:53|80|1|40.00|40.00|263|81
1001|1|14/01/2022 09:33:53|310|1|-16.17|-16.17|264|81
1001|1|14/01/2022 09:33:53|70|2|44.60|89.20|265|81
1001|1|14/01/2022 09:33:53|81|1|40.00|40.00|266|81
1001|1|14/01/2022 09:35:20|270|1|38.00|38.00|267|82
1001|1|14/01/2022 09:36:01|230|1|21.00|21.00|268|83
1001|1|14/01/2022 09:36:01|170|1|1.50|1.50|269|83
1001|1|14/01/2022 09:37:06|22|1|10.00|10.00|270|84
1001|1|14/01/2022 09:37:06|170|1|1.50|1.50|271|84
1001|1|14/01/2022 09:37:06|310|1|-4.46|-4.46|272|84
1001|1|14/01/2022 09:37:06|36|1|15.00|15.00|273|84
1001|1|14/01/2022 09:40:06|22|1|7.00|7.00|274|85
1001|1|14/01/2022 09:40:06|21|2|7.81|15.61|275|85
1001|1|14/01/2022 09:40:06|23|1|7.00|7.00|276|85
1001|1|14/01/2022 09:40:06|171|1|2.00|2.00|277|85
1001|1|14/01/2022 09:41:23|170|1|1.50|1.50|278|86
1001|1|14/01/2022 09:41:23|270|1|38.00|38.00|279|86
1001|1|14/01/2022 09:43:52|50|1|9.50|9.50|280|87
1001|1|14/01/2022 09:43:52|120|3|9.84|29.52|281|87
1001|1|14/01/2022 09:44:26|22|1|7.00|7.00|282|88
1001|1|14/01/2022 09:44:26|21|1|7.00|7.00|283|88
1001|1|14/01/2022 09:44:26|20|1|7.00|7.00|284|88
1001|1|14/01/2022 09:45:19|50|3|11.69|35.06|285|89
1001|1|14/01/2022 09:45:19|60|1|20.00|20.00|286|89
1001|1|14/01/2022 09:51:08|172|1|2.50|2.50|287|94
1001|1|14/01/2022 09:51:08|230|1|21.00|21.00|288|94
1001|1|14/01/2022 09:54:59|37|1|9.00|9.00|289|95
1001|1|14/01/2022 09:54:59|30|3|11.07|33.21|290|95
1001|1|14/01/2022 09:54:59|100|2|0.00|0.00|291|95
1001|1|14/01/2022 09:54:59|36|2|10.04|20.07|292|95
1001|1|14/01/2022 09:54:59|173|1|3.00|3.00|293|95
1001|1|14/01/2022 09:54:59|310|1|-20.07|-20.07|294|95
1001|1|14/01/2022 09:54:59|30|2|10.04|20.07|295|95
